iter	MultiClass
0	1.04818939
1	1.001940221
2	0.9592336542
3	0.9199148253
4	0.8833767746
5	0.8495535228
6	0.8179234234
7	0.7883168195
8	0.7601072457
9	0.7334681139
10	0.7085414748
11	0.6831943856
12	0.6589985025
13	0.6356060283
14	0.6142517168
15	0.5938721927
16	0.573980003
17	0.5553687733
18	0.5376740171
19	0.5206564035
20	0.5048608848
21	0.4896957189
22	0.4748536544
23	0.4608718103
24	0.4476522657
25	0.4347126678
26	0.4228436215
27	0.4111841173
28	0.4001645888
29	0.3893595469
30	0.3791809271
31	0.3692612491
32	0.3597217919
33	0.3506040716
34	0.341896589
35	0.3333797524
36	0.3252549489
37	0.3177432507
38	0.3102090657
39	0.3030483038
40	0.2961658666
41	0.2894768523
42	0.2829904925
43	0.2767974472
44	0.2709971408
45	0.2651046641
46	0.2595409083
47	0.2541971617
48	0.2490173316
49	0.244022194
50	0.2392221989
51	0.2345812809
52	0.2298659968
53	0.2255294686
54	0.2212352381
55	0.2173574964
56	0.2134986336
57	0.2098287529
58	0.2061980061
59	0.2025391973
60	0.1991858463
61	0.1959407977
62	0.1927207106
63	0.189679245
64	0.1866168341
65	0.1838098008
66	0.1811141199
67	0.1785087906
68	0.1760425808
69	0.1734969589
70	0.1711199894
71	0.1688193459
72	0.1664206239
73	0.1642678987
74	0.1620284955
75	0.160049396
76	0.158040725
77	0.1562001517
78	0.1542724487
79	0.1524390913
80	0.1506394316
81	0.1489726911
82	0.1472907732
83	0.1456376657
84	0.1442030546
85	0.1428702747
86	0.1412750665
87	0.1397940252
88	0.1383670252
89	0.1370146267
90	0.1357288082
91	0.1346164077
92	0.1333380958
93	0.1322362108
94	0.1312222397
95	0.1301526521
96	0.129209134
97	0.1281577026
98	0.127199175
99	0.1261460671
100	0.125278942
101	0.1245352419
102	0.1237142048
103	0.1227985467
104	0.1220418434
105	0.1212824241
106	0.1206769753
107	0.1198748173
108	0.1192876393
109	0.1186746047
110	0.1180802487
111	0.1174955124
112	0.1170089083
113	0.1164547832
114	0.1158996043
115	0.1153420432
116	0.1147794463
117	0.1141283382
118	0.1136369409
119	0.1131102237
120	0.1128067822
121	0.1123451574
122	0.1119356464
123	0.1114828023
124	0.1110237279
125	0.1105699186
126	0.1101424293
127	0.109617557
128	0.1092896979
129	0.1089125806
130	0.1084952614
131	0.1081798295
132	0.1078865532
133	0.107652815
134	0.1073110088
135	0.1069643353
136	0.1067421052
137	0.1064451317
138	0.1061282198
139	0.1058088233
140	0.1055344495
141	0.1053032038
142	0.1050520216
143	0.1048142214
144	0.1045162944
145	0.104254677
146	0.1041863812
147	0.1038625001
148	0.1036235787
149	0.1033648445
150	0.1032030909
151	0.102971442
152	0.1027481618
153	0.1027233576
154	0.1025426364
155	0.1024246256
156	0.102213996
157	0.1020270706
158	0.1019988451
159	0.1018075605
160	0.1016786188
161	0.1016199065
162	0.1014622852
163	0.1012558948
164	0.1010613179
165	0.1008599089
166	0.1007507866
167	0.1006177396
168	0.1004250208
169	0.1002353151
170	0.1001622876
171	0.1000263939
172	0.09991929385
173	0.0999031864
174	0.09973944553
175	0.09963161062
176	0.09953216066
177	0.09948006874
178	0.09934181084
179	0.09932966568
180	0.09920105834
181	0.09904399948
182	0.09896571568
183	0.09881859902
184	0.09871573575
185	0.0986880193
186	0.09858455521
187	0.09848698455
188	0.09832163261
189	0.09826155922
190	0.09814140298
191	0.09813124781
192	0.09803443162
193	0.09794729928
194	0.09784279786
195	0.0977476971
196	0.09765981446
197	0.0975782765
198	0.09748576309
199	0.09740204638
200	0.09734420529
201	0.09725161929
202	0.0971537252
203	0.09706696348
204	0.09694103676
205	0.09687440654
206	0.09680922728
207	0.0967371375
208	0.09667292241
209	0.09658012319
210	0.09650944807
211	0.09646637206
212	0.0964049931
213	0.09627452278
214	0.09619077345
215	0.09612478724
216	0.09601576396
217	0.09595500166
218	0.0959055965
219	0.09588967045
220	0.09584116337
221	0.09578371562
222	0.09575107782
223	0.095706988
224	0.09565517826
225	0.09560903551
226	0.09553227937
227	0.09552547709
228	0.09551835211
229	0.09543692836
230	0.09540636041
231	0.09534277084
232	0.09529002521
233	0.09521896162
234	0.09518136869
235	0.09513404509
236	0.09509244489
237	0.09507374663
238	0.09501440565
239	0.09498891176
240	0.09493308315
241	0.09489335982
242	0.0948705921
243	0.0948199954
244	0.09478648516
245	0.09474977701
246	0.09469391677
247	0.09467161346
248	0.09466455807
249	0.09465354335
250	0.09462415234
251	0.09461865597
252	0.0946114488
253	0.09454928757
254	0.09452007978
255	0.09448063315
256	0.09444953833
257	0.09444611732
258	0.09443004202
259	0.0944057737
260	0.09439278224
261	0.09437082483
262	0.09435141531
263	0.09434836836
264	0.09434749746
265	0.094344885
266	0.09430513766
267	0.09426279263
268	0.09423853484
269	0.09421209529
270	0.09418366472
271	0.09414628794
272	0.09412641753
273	0.09408397094
274	0.0940527942
275	0.09404035989
276	0.09403462187
277	0.09402092607
278	0.09401833551
279	0.09398574245
280	0.09396227628
281	0.09393643248
282	0.09387042032
283	0.09380771569
284	0.09379819433
285	0.09377213498
286	0.09376745015
287	0.09372933921
288	0.09370573582
289	0.09369213204
290	0.09368213164
291	0.09365907648
292	0.09364949418
293	0.09363309559
294	0.09362707825
295	0.09360786437
296	0.09357580809
297	0.09355465261
298	0.09353424419
299	0.09352907873
300	0.09352437354
301	0.09350483373
302	0.09347643614
303	0.09347606852
304	0.09347582299
305	0.09342736188
306	0.09342334844
307	0.09339145404
308	0.09337406078
309	0.093359485
310	0.09335792649
311	0.09331314732
312	0.09331022497
313	0.09330807116
314	0.0932971213
315	0.09329010385
316	0.09328950541
317	0.09328640546
318	0.0932602359
319	0.09322300842
320	0.09319723686
321	0.09318807845
322	0.09315949997
323	0.0931398402
324	0.09312607856
325	0.09311902346
326	0.09311519037
327	0.09310853785
328	0.09308617327
329	0.09308031303
330	0.09308031112
331	0.09307320177
332	0.09307316152
333	0.09304017791
334	0.09304012128
335	0.09304007601
336	0.0930250529
337	0.09301886125
338	0.09300841848
339	0.09299416067
340	0.09299405416
341	0.09297985849
342	0.09296927605
343	0.092964753
344	0.09295177657
345	0.09292845666
346	0.0929283308
347	0.09292828116
348	0.09291237832
349	0.0929080538
350	0.09290578991
351	0.09290052192
352	0.09288068741
353	0.09287842165
354	0.09287176955
355	0.0928589571
356	0.09281628189
357	0.09280663033
358	0.09279928719
359	0.09278957636
360	0.09278938825
361	0.09277944981
362	0.09277030677
363	0.09274614836
364	0.09273283435
365	0.09273283406
366	0.09271795766
367	0.09270519276
368	0.09270138547
369	0.09269098927
370	0.09268652847
371	0.09267837657
372	0.09265576342
373	0.09264781135
374	0.0926477695
375	0.09263061034
376	0.09260477161
377	0.09259251823
378	0.09256838502
379	0.09256426424
380	0.09255683137
381	0.09255682138
382	0.09255377308
383	0.09253449569
384	0.0925344881
385	0.09253390917
386	0.09252309367
387	0.09252305848
388	0.09252297218
389	0.09251683475
390	0.09251679441
391	0.09251613871
392	0.09251575727
393	0.09249786154
394	0.09248216742
395	0.0924747069
396	0.09245658732
397	0.09245651138
398	0.09244555521
399	0.09244552553
400	0.09244460143
401	0.09244348467
402	0.09243249055
403	0.09243243757
404	0.09242354163
405	0.09240380094
406	0.0923622952
407	0.09235132962
408	0.09233992542
409	0.09231603952
410	0.09231598152
